"8/6 Elbow Street, Coffs Harbour, NSW 2450, Australia",-30.2941484,153.1147955
"7 Eden Park Drive, Macquarie Park, NSW 2113, Australia",-33.7858211,151.1310676
"1/28 Gore Street, Port Macquarie, NSW 2444, Australia",-31.4348336,152.902752
"2015, Australia",-33.9084474,151.1990616
"2/2 Littlebourne Street, Kelso, NSW 2795, Australia",-33.4197137,149.6148781
"144 Parry Street, Newcastle West, NSW 2302, Australia",-32.925113,151.7556897
"101 Crown Street, Wollongong, NSW 2500, Australia",-34.4262586,150.9024391
"246 Pacific Highway, Crows Nest, NSW 2065, Australia",-33.8291387,151.2014162
"9/27 Yallourn Street, Fyshwick, ACT 2609, Australia",-35.3324745,149.1717406
"3690, Australia",-36.1370976,146.8717861
"12 Vesper Street, Batemans Bay, NSW 2536, Australia",-35.7112338,150.1739295
"Bathurst, NSW 2795, Australia",-33.4166378,149.5804943
"70 Topham Road, Smeaton Grange, NSW 2567, Australia",-34.0359778,150.7551036
"821 Pacific Highway, Chatswood, NSW 2067, Australia",-33.7948928,151.1792305
"1/80 Gipps Street, Dubbo, NSW 2830, Australia",-32.2524783,148.6103392
"Gordon, NSW 2072, Australia",-33.7553899,151.1518099
"East Maitland, NSW 2323, Australia",-32.7575206,151.5854642
"Warners Bay, NSW 2282, Australia",-32.9739199,151.6489887
"North Strathfield, NSW 2137, Australia",-33.8590236,151.0881331
"91 Phillip Street, Parramatta, NSW 2150, Australia",-33.8131355,151.0062734
"95B Station Street, Penrith, NSW 2750, Australia",-33.7521389,150.6953619
"1 Burelli Street, Wollongong, NSW 2500, Australia",-34.4267578,150.8980948
"3 Amy Close, Wyong, NSW 2259, Australia",-33.267577,151.4362717
"194 Heathcote Road, Hammondville, NSW 2170, Australia",-33.9426382,150.9430272
"21 Darrell Road, Calala, NSW 2340, Australia",-31.1361608,150.950792
"118 Hovell Street, Albury, NSW 2640, Australia",-36.0872337,146.9171931
"Deniliquin, NSW 2710, Australia",-35.5302183,144.9597178
"86 Yambil Street, Griffith, NSW 2680, Australia",-34.2884609,146.0390207
"Miranda, NSW 1409, Australia",-34.0335434,151.1037193
"66 Auburn Street, Wollongong, NSW 2500, Australia",-34.4273328,150.8894892
"2795, Australia",-33.4154582,149.6080758
"2072, Australia",-33.7549495,151.152396
"50 Oliver Avenue, Goonellabah, NSW 2480, Australia",-28.8243235,153.326577
"2282, Australia",-32.9715207,151.6498285
"2710, Australia",-35.7006157,144.8980893
